SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,September-29-2020,Condo/Co-op,11400 Washington Plz W #404,Reston,VA,20190,237500,1,1.0,LAKE ANNE OF RESTON COND,785,,1966,34.0,303,970.0,Sold,,,http://www.redfin.com/VA/Reston/11400-Washington-Plz-W-20190/unit-404/home/9225532,BRIGHT MLS,VAFX1149162,N,Y,38.967822999999996,-77.34104140000001,1604368528-362,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/11400-Washington-Plz-W-20190/unit-404/home/9225532,11400 Washington Plz W #404,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/162/genMid.VAFX1149162_1.jpg,"$251,795",
PAST SALE,October-1-2020,Condo/Co-op,11654 Stoneview Sq Unit 2B,Reston,VA,20191,206000,2,2.0,SHADOWOOD,894,,1974,32.0,230,502.0,Sold,,,http://www.redfin.com/VA/Reston/11654-Stoneview-Sq-20191/unit-2B/home/172510960,BRIGHT MLS,VAFX1148620,N,Y,38.932796999999994,-77.349503,1604368532-363,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/11654-Stoneview-Sq-20191/unit-2B/home/172510960,11654 Stoneview Sq Unit 2B,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/620/genMid.VAFX1148620_2.jpg,"$230,702",
PAST SALE,October-5-2020,Condo/Co-op,12001 Taliesin Pl #31,Reston,VA,20190,325000,1,1.0,OAK PARK CONDO AT,934,,1993,28.0,348,506.0,Sold,,,http://www.redfin.com/VA/Reston/12001-Taliesin-Pl-20190/unit-31/home/9213062,BRIGHT MLS,VAFX1147706,N,Y,38.960874600000004,-77.360722,1604368536-364,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/12001-Taliesin-Pl-20190/unit-31/home/9213062,12001 Taliesin Pl #31,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/706/genMid.VAFX1147706_2.jpg,"$328,938",
PAST SALE,October-16-2020,Condo/Co-op,1509 N Point Dr #1,Reston,VA,20194,335000,2,2.0,NORTH POINT VILLAS CONDO,1050,,1999,17.0,319,420.0,Sold,,,http://www.redfin.com/VA/Reston/1509-N-Point-Dr-20194/unit-001/home/171037337,BRIGHT MLS,VAFX1149040,N,Y,38.980614,-77.351586,1604368540-365,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/1509-N-Point-Dr-20194/unit-001/home/171037337,1509 N Point Dr #1,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/040/genMid.VAFX1149040_4.jpg,"$337,717",
PAST SALE,September-4-2020,Condo/Co-op,1501 N Point Dr #304,Reston,VA,20194,359500,3,2.0,NORTH POINT VILLAS CONDO,1300,,1999,59.0,277,468.0,Sold,,,http://www.redfin.com/VA/Reston/1501-N-Point-Dr-20194/unit-304/home/25708577,BRIGHT MLS,VAFX1143314,N,Y,38.9805527,-77.3524073,1604368548-367,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/1501-N-Point-Dr-20194/unit-304/home/25708577,1501 N Point Dr #304,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/314/genMid.VAFX1143314_3.jpg,"$370,070",
PAST SALE,August-31-2020,Condo/Co-op,11918 Breton Ct Unit 1B,Reston,VA,20191,437750,3,2.5,GLADE AT HUNTERS WOODS T,1514,,1998,63.0,289,374.0,Sold,,,http://www.redfin.com/VA/Reston/11918-Breton-Ct-20191/unit-1B/home/9333614,BRIGHT MLS,VAFX1142760,N,Y,38.935471,-77.361076,1604368511-358,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/11918-Breton-Ct-20191/unit-1B/home/9333614,11918 Breton Ct Unit 1B,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/760/genMid.VAFX1142760_1.jpg,"$441,283",
PAST SALE,August-7-2020,Condo/Co-op,12945 Centre Park Cir #206,Herndon,VA,20171,232500,1,1.0,BRYSON AT WOODLAND PARK,664,,2005,87.0,350,269.0,Sold,,,http://www.redfin.com/VA/Herndon/12945-Centre-Park-Cir-20171/unit-206/home/12073077,BRIGHT MLS,VAFX1132816,N,Y,38.950337100000006,-77.3911444,1604367410-65,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Herndon/12945-Centre-Park-Cir-20171/unit-206/home/12073077,12945 Centre Park Cir #206,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/816/genMid.VAFX1132816_3.jpg,"$240,339",
PAST SALE,September-3-2020,Condo/Co-op,12001 Market St #177,Reston,VA,20190,395000,2,2.0,MARKET STREET AT TOWN CE,1060,,2003,60.0,373,495.0,Sold,,,http://www.redfin.com/VA/Reston/12001-Market-St-20190/unit-177/home/9849058,BRIGHT MLS,VAFX1128194,N,Y,38.958028000000006,-77.362359,1604367703-138,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12,,https://www.redfin.com/VA/Reston/12001-Market-St-20190/unit-177/home/9849058,12001 Market St #177,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/194/genMid.VAFX1128194_4.jpg,"$409,481",
PAST SALE,August-26-2020,Condo/Co-op,12905 Centre Park Cir #312,Herndon,VA,20171,317000,2,2.0,BRYSON AT WOODLAND PARK,1031,,2005,68.0,307,405.0,Sold,,,http://www.redfin.com/VA/Herndon/12905-Centre-Park-Cir-20171/unit-312/home/9854430,BRIGHT MLS,VAFX1141912,N,Y,38.94939829999999,-77.39305999999999,1604368383-324,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3,,https://www.redfin.com/VA/Herndon/12905-Centre-Park-Cir-20171/unit-312/home/9854430,12905 Centre Park Cir #312,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/912/genMid.VAFX1141912_3.jpg,"$331,228",
PAST SALE,September-21-2020,Condo/Co-op,1701 Lake Shore Crest Dr #15,Reston,VA,20190,342000,2,2.0,EDGEWATER AT TOWN CENTER,1108,,1995,42.0,309,512.0,Sold,,,http://www.redfin.com/VA/Reston/1701-Lake-Shore-Crest-Dr-20190/unit-15/home/9215877,BRIGHT MLS,VAFX1143704,N,Y,38.9649058,-77.3638084,1604367852-180,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-10,,https://www.redfin.com/VA/Reston/1701-Lake-Shore-Crest-Dr-20190/unit-15/home/9215877,1701 Lake Shore Crest Dr #15,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/704/genMid.VAFX1143704_1.jpg,"$352,841",
