web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
"1604368062-238","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-264/home/9850647","12000 Market St #264","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/306/genMid.VAFX1148306_1.jpg","$297,895","null"
"1604367297-35","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/2328-Freetown-Ct-20191/unit-5/home/9330608","2328 Freetown Ct #5","","$224,504","null"
"1604368118-256","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6","","https://www.redfin.com/VA/Reston/1224-Weatherstone-Ct-20194/home/9144685","1224 Weatherstone Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/186/genMid.VAFX1154186_3.jpg","$604,205","null"
"1604368528-362","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1","","https://www.redfin.com/VA/Reston/11400-Washington-Plz-W-20190/unit-404/home/9225532","11400 Washington Plz W #404","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/162/genMid.VAFX1149162_1.jpg","$251,795","null"
"1604367737-148","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11","","https://www.redfin.com/VA/Herndon/12917-Centre-Park-Cir-20171/unit-417/home/9854315","12917 Centre Park Cir #417","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/752/genMid.VAFX1138752_1.jpg","$399,048","null"
"1604368543-366","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1","","https://www.redfin.com/VA/Reston/12128-Purple-Sage-Ct-20194/home/9131284","12128 Purple Sage Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/528/genMid.VAFX1154528_2.jpg","$395,995","null"
"1604367624-118","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Reston/11510-Waterhaven-Ct-20190/home/9231474","11510 Waterhaven Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/940/genMid.VAFX1134940_1.jpg","$687,399","null"
"1604367903-193","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9","","https://www.redfin.com/VA/Reston/11760-Sunrise-Valley-Dr-20191/unit-805/home/17112638","11760 Sunrise Valley Dr #805","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/006/genMid.VAFX1144006_2.jpg","$278,703","null"
"1604368297-301","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4","","https://www.redfin.com/VA/Reston/11776-Stratford-House-Pl-20190/unit-902/home/9837924","11776 Stratford House Place Pl #902","","null","null"
"1604367327-43","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/1411-Northgate-Sq-20190/unit-11/home/9228103","1411 Northgate Sq #11","","$266,916","null"
"1604368227-285","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4","","https://www.redfin.com/VA/Reston/12264-Turkey-Wing-Ct-20191/home/9232804","12264 Turkey Wing Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/514/genMid.VAFX1156514_2.jpg","$458,652","null"
"1604367487-86","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Herndon/12921-Centre-Park-Cir-20171/unit-105/home/9855334","12921 Centre Park Cir #105","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/174/genMid.VAFX1141174_2.jpg","$287,437","null"
"1604367654-125","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12","","https://www.redfin.com/VA/Reston/1851-Stratford-Park-Pl-20190/unit-107/home/9838028","1851 Stratford Park Pl #107","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/072/genMid.VAFX1139072_1.jpg","$408,083","null"
"1604368406-330","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2","","https://www.redfin.com/VA/Reston/11859-Dunlop-Ct-20191/home/9319489","11859 Dunlop Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/490/genMid.VAFX1145490_1.jpg","$520,431","null"
"1604367946-205","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/2382-Generation-Dr-20191/home/9351462","2382 Generation Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/704/genMid.VAFX1152704_2.jpg","$482,072","null"
"1604367511-92","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Reston/12025-New-Dominion-Pkwy-20190/unit-112/home/17112031","12025 New Dominion Pkwy #112","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/338/genMid.VAFX1110338_4.jpg","$453,962","null"
"1604367289-32","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/11627-Stoneview-Sq-20191/unit-78/home/9339185","11627 Stoneview Sq #78","","$248,962","null"
"1604367255-22","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/11990-Market-St-20190/unit-214/home/17112401","11990 Market St #214","","$495,512","null"
"1604368196-278","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Reston/1342-Sundial-Dr-20194/home/9146350","1342 Sundial Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/554/genMid.VAFX1152554_2.jpg","$650,831","null"
"1604368110-253","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6","","https://www.redfin.com/VA/Reston/2072-Whisperwood-Glen-Ln-20191/home/9344259","2072 Whisperwood Glen Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/824/genMid.VAFX1155824_1.jpg","$417,179","null"
"1604367265-25","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/1710-Abercromby-Ct-20190/unit-1710K/home/9855404","1710 Abercromby Ct Unit 1710K","","$299,760","null"
"1604368017-224","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/1657-Poplar-Grove-Dr-20194/home/9132182","1657 Poplar Grove Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/230/genMid.VAFX1147230_1.jpg","$402,332","null"
"1604368373-321","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/1855-Stratford-Park-Pl-20190/unit-115/home/9832768","1855 Stratford Park Pl #115","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/534/genMid.VAFX1132534_1.jpg","$370,622","null"
