SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,August-6-2020,Single Family Residential,10803 Cross School Rd,Reston,VA,20191,779000,4,3.5,RESTON,3766,15435.0,1978,88.0,207,59.0,Sold,,,http://www.redfin.com/VA/Reston/10803-Cross-School-Rd-20191/home/9352844,BRIGHT MLS,VAFX1134518,N,Y,38.9383044,-77.3204844,1604368494-354,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/10803-Cross-School-Rd-20191/home/9352844,10803 Cross School Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/518/genMid.VAFX1134518_1.jpg,"$792,404",
PAST SALE,September-9-2020,Single Family Residential,1250 Lamplighter Way,Reston,VA,20194,810000,4,3.5,RESTON,2216,5162.0,1990,54.0,366,83.0,Sold,,,http://www.redfin.com/VA/Reston/1250-Lamplighter-Way-20194/home/9143373,BRIGHT MLS,VAFX1145420,N,Y,38.9846066,-77.33434940000001,1604368515-359,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/1250-Lamplighter-Way-20194/home/9143373,1250 Lamplighter Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/420/genMid.VAFX1145420_2.jpg,"$834,561",
PAST SALE,September-21-2020,Single Family Residential,11219 Leatherwood Dr,Reston,VA,20191,710600,4,3.0,RESTON,2385,15865.0,1971,42.0,298,58.0,Sold,,,http://www.redfin.com/VA/Reston/11219-Leatherwood-Dr-20191/home/9349434,BRIGHT MLS,VAFX1148998,N,Y,38.9223902,-77.33365390000002,1604368520-360,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/11219-Leatherwood-Dr-20191/home/9349434,11219 Leatherwood Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/998/genMid.VAFX1148998_1.jpg,"$691,858",
PAST SALE,August-12-2020,Single Family Residential,2400 Jackstay Ter,Reston,VA,20191,785000,5,3.5,RESTON,3006,12276.0,1969,82.0,261,59.0,Sold,,,http://www.redfin.com/VA/Reston/2400-Jackstay-Ter-20191/home/9346229,BRIGHT MLS,VAFX1135936,N,Y,38.930103100000004,-77.363151,1604368502-356,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/2400-Jackstay-Ter-20191/home/9346229,2400 Jackstay Ter,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/936/genMid.VAFX1135936_1.jpg,"$798,215",
PAST SALE,August-18-2020,Single Family Residential,2531 Donns Way,Oakton,VA,22124,2500000,5,7.0,BRIDGES OF OAKTON,9799,81519.0,2002,76.0,255,63.0,Sold,,,http://www.redfin.com/VA/Oakton/2531-Donns-Way-22124/home/9830623,BRIGHT MLS,VAFX1139732,N,Y,38.9157445,-77.3389482,1604367520-95,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14,,https://www.redfin.com/VA/Oakton/2531-Donns-Way-22124/home/9830623,2531 Donns Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/732/genMid.VAFX1139732_2.jpg,"$2,345,813",
PAST SALE,August-7-2020,Single Family Residential,2006 Roundhouse Rd,Vienna,VA,22181,1125000,6,4.0,HUNTERS STATION,4824,81469.0,1985,87.0,233,,Sold,,,http://www.redfin.com/VA/Vienna/2006-Roundhouse-Rd-22181/home/9353705,BRIGHT MLS,VAFX1135354,N,Y,38.9326951,-77.3176573,1604367414-66,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Vienna/2006-Roundhouse-Rd-22181/home/9353705,2006 Roundhouse Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/354/genMid.VAFX1135354_3.jpg,"$1,138,770",
PAST SALE,September-8-2020,Single Family Residential,1960 Barton Hill Rd,Reston,VA,20191,965000,5,4.0,RESTON,4506,16797.0,1978,55.0,214,59.0,Sold,,,http://www.redfin.com/VA/Reston/1960-Barton-Hill-Rd-20191/home/9353347,BRIGHT MLS,VAFX1139006,N,Y,38.9343879,-77.3220998,1604367740-149,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/1960-Barton-Hill-Rd-20191/home/9353347,1960 Barton Hill Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/006/genMid.VAFX1139006_1.jpg,"$974,114",
PAST SALE,August-7-2020,Single Family Residential,11634 Deer Forest Rd,Reston,VA,20194,675000,4,2.5,SHAKER WOODS,2496,25080.0,1984,87.0,270,16.0,Sold,,,http://www.redfin.com/VA/Reston/11634-Deer-Forest-Rd-20194/home/9122471,BRIGHT MLS,VAFX1140378,N,Y,38.9867026,-77.35234,1604367406-64,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Reston/11634-Deer-Forest-Rd-20194/home/9122471,11634 Deer Forest Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/378/genMid.VAFX1140378_1.jpg,"$749,723",
PAST SALE,August-6-2020,Single Family Residential,11396 Fairway Dr,Reston,VA,20190,681100,4,2.5,RESTON,2728,5407.0,1969,88.0,250,124.0,Sold,,,http://www.redfin.com/VA/Reston/11396-Fairway-Dr-20190/home/9222535,BRIGHT MLS,VAFX1136578,N,Y,38.962846899999995,-77.33937,1604367369-55,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16,,https://www.redfin.com/VA/Reston/11396-Fairway-Dr-20190/home/9222535,11396 Fairway Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/578/genMid.VAFX1136578_2.jpg,"$695,084",
PAST SALE,September-3-2020,Single Family Residential,11323 Myrtle Ln,Reston,VA,20191,699900,4,2.5,RESTON,2484,20211.0,1969,60.0,282,59.0,Sold,,,http://www.redfin.com/VA/Reston/11323-Myrtle-Ln-20191/home/9348741,BRIGHT MLS,VAFX1144510,N,Y,38.921828399999995,-77.3396885,1604368403-329,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/11323-Myrtle-Ln-20191/home/9348741,11323 Myrtle Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/510/genMid.VAFX1144510_1.jpg,"$712,916",
PAST SALE,August-4-2020,Single Family Residential,11407 Drop Forge Ln,Reston,VA,20191,727500,4,3.5,RESTON,2532,31442.0,1971,90.0,287,59.0,Sold,,,http://www.redfin.com/VA/Reston/11407-Drop-Forge-Ln-20191/home/9348709,BRIGHT MLS,VAFX1136638,N,Y,38.9211399,-77.3425599,1604367352-50,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16,,https://www.redfin.com/VA/Reston/11407-Drop-Forge-Ln-20191/home/9348709,11407 Drop Forge Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/638/genMid.VAFX1136638_2.jpg,"$762,517",
