SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,October-27-2020,Townhouse,12128 Purple Sage Ct,Reston,VA,20194,415300,3,2.5,RESTON SEC 49 BLK 3A 3B,1220,1400.0,1985,6.0,340,110.0,Sold,,,http://www.redfin.com/VA/Reston/12128-Purple-Sage-Ct-20194/home/9131284,BRIGHT MLS,VAFX1154528,N,Y,38.974383,-77.36361590000001,1604368543-366,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/12128-Purple-Sage-Ct-20194/home/9131284,12128 Purple Sage Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/528/genMid.VAFX1154528_2.jpg,"$395,995",
PAST SALE,August-12-2020,Townhouse,1932 Sagewood Ln,Reston,VA,20191,405000,2,2.0,RESTON SEC 82 BLK 4,1280,825.0,1985,82.0,316,103.0,Sold,,,http://www.redfin.com/VA/Reston/1932-Sagewood-Ln-20191/home/9355029,BRIGHT MLS,VAFX1142232,N,Y,38.941138099999996,-77.32739699999999,1604368498-355,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/1932-Sagewood-Ln-20191/home/9355029,1932 Sagewood Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/232/genMid.VAFX1142232_1.jpg,"$418,760",
PAST SALE,September-10-2020,Townhouse,13055 Park Crescent Cir,Herndon,VA,20171,520100,3,3.0,WOODLAND PARK SEC 2,2260,1332.0,1999,53.0,230,145.0,Sold,,,http://www.redfin.com/VA/Herndon/13055-Park-Crescent-Cir-20171/home/9208221,BRIGHT MLS,VAFX1144558,N,Y,38.946376,-77.393417,1604368551-368,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Herndon/13055-Park-Crescent-Cir-20171/home/9208221,13055 Park Crescent Cir,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/558/genMid.VAFX1144558_1.jpg,"$535,632",
PAST SALE,August-21-2020,Townhouse,12106 Chancery Station Cir,Reston,VA,20190,907500,3,4.5,LOGAN PARK CLUSTER BLK 2,2466,1675.0,1999,73.0,368,153.0,Sold,,,http://www.redfin.com/VA/Reston/12106-Chancery-Station-Cir-20190/home/9216426,BRIGHT MLS,VAFX1126896,N,Y,38.9591366,-77.36364449999999,1604368506-357,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/12106-Chancery-Station-Cir-20190/home/9216426,12106 Chancery Station Cir,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/896/genMid.VAFX1126896_3.jpg,"$934,647",
PAST SALE,September-29-2020,Townhouse,1648 Valencia Way,Reston,VA,20190,475000,3,3.5,RESTON SEC 19 BLK 1 VILL,2162,1436.0,1972,34.0,220,115.0,Sold,,,http://www.redfin.com/VA/Reston/1648-Valencia-Way-20190/home/9242479,BRIGHT MLS,VAFX1151692,N,Y,38.96024,-77.331659,1604368524-361,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1,,https://www.redfin.com/VA/Reston/1648-Valencia-Way-20190/home/9242479,1648 Valencia Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/692/genMid.VAFX1151692_1.jpg,"$492,825",
PAST SALE,August-26-2020,Townhouse,12170 Sanibel Ct,Reston,VA,20191,327500,3,2.0,RESTON SEC 38B BLK 9 SAN,1262,1363.0,1972,68.0,260,93.0,Sold,,,http://www.redfin.com/VA/Reston/12170-Sanibel-Ct-20191/home/9324740,BRIGHT MLS,VAFX1136986,N,Y,38.943269,-77.367115,1604367598-111,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Reston/12170-Sanibel-Ct-20191/home/9324740,12170 Sanibel Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/986/genMid.VAFX1136986_4.jpg,"$357,830",
PAST SALE,September-4-2020,Townhouse,1509 Inlet Ct,Reston,VA,20190,565000,5,2.5,RESTON SEC 17 BLK 4 INLE,2383,1846.0,1971,59.0,237,150.0,Sold,,,http://www.redfin.com/VA/Reston/1509-Inlet-Ct-20190/home/9222809,BRIGHT MLS,VAFX1124338,N,Y,38.9663619,-77.333344,1604367724-144,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/1509-Inlet-Ct-20190/home/9222809,1509 Inlet Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/338/genMid.VAFX1124338_2.jpg,"$613,538",
PAST SALE,September-22-2020,Townhouse,1361 Heritage Oak Way,Reston,VA,20194,687500,3,3.0,RESTON SEC 61 BLK 2 HERI,2434,2584.0,1990,41.0,282,108.0,Sold,,,http://www.redfin.com/VA/Reston/1361-Heritage-Oak-Way-20194/home/9145826,BRIGHT MLS,VAFX1141878,N,Y,38.9814055,-77.3401708,1604367867-183,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/1361-Heritage-Oak-Way-20194/home/9145826,1361 Heritage Oak Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/878/genMid.VAFX1141878_3.jpg,"$707,206",
PAST SALE,September-1-2020,Townhouse,11908 Escalante Ct,Reston,VA,20191,459900,3,2.5,RESTON SEC 34 BLK 2A COL,1729,1509.0,1972,62.0,266,58.0,Sold,,,http://www.redfin.com/VA/Reston/11908-Escalante-Ct-20191/home/9324021,BRIGHT MLS,VAFX1138520,N,Y,38.940366999999995,-77.357184,1604368389-326,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3,,https://www.redfin.com/VA/Reston/11908-Escalante-Ct-20191/home/9324021,11908 Escalante Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/520/genMid.VAFX1138520_1.jpg,"$487,125",
PAST SALE,September-3-2020,Townhouse,11859 Dunlop Ct,Reston,VA,20191,506000,4,2.5,DEEPWOOD BLK D,2000,2245.0,1972,60.0,253,140.0,Sold,,,http://www.redfin.com/VA/Reston/11859-Dunlop-Ct-20191/home/9319489,BRIGHT MLS,VAFX1145490,N,Y,38.9320069,-77.3556148,1604368406-330,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/11859-Dunlop-Ct-20191/home/9319489,11859 Dunlop Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/490/genMid.VAFX1145490_1.jpg,"$520,431",
